KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
EABILITY_HOLYBLAST_NAME,Holy Blast,,Explosión sagrada,Explosion sacrée,Heilige Explosion,Esplosione Sacra,Explosão Sagrada,,,ホーリーブラスト,
EABILITY_PRECOGNITION_NAME,Precognition,,Premonición,Prémonition,Vorausahnung,Precognizione,Predição,,,予知,
EABILITY_ANNIHILATION_NAME,Annihilation,,Aniquilación,Annihilation,Vernichtung,Annientamento,Aniquilação,,,アナイアレーション,
EABILITY_RISE_NAME,Rise,,Levantamiento,Ascension,Erheben,Ascesa,Elevação,,,ライズ,
EABILITY_PURITY_NAME,Purity,,Pureza,Pureté,Reinheit,Purezza,Pureza,,,ピュリティ,
EABILITY_WRATH_NAME,Wrath,,Ira,Courroux,Zorn,Ira,Ira,,,ラース,
EABILITY_PULSE_NAME,Pulse,,Pulso,Pulsation,Puls,Impulso,Pulso,,,パルス,
EABILITY_SLAM_NAME,Slam,,Porrazo,Écrasement,Aufschlag,Schianto,Batida,,,スラム,
EABILITY_TOSS_NAME,Toss,,Lanzamiento,Lancer,Wurf,Lancio,Lançamento,,,トス,
EABILITY_GASP_NAME,Gasp,,Bocanada,Exclamation,Keuchen,Sussulto,Engasgo,,,ギャスプ,
EABILITY_RAGE_NAME,Rage,,Rabia,Rage,Rage,Rabbia,Raiva,,,レイジ,
EABILITY_TANTRUM_NAME,Tantrum,,Rabieta,Caprice,Wutanfall,Capriccio,Birra,,,タントラム,
EABILITY_CALL_NAME,Call,,Llamada,Appel,Ruf,Richiamo,Chamado,,,コール,
EABILITY_SPIT_NAME,Spit,,Escupitajo,Crachat,Ausspucken,Sputo,Cuspe,,,スピット,
EABILITY_BELLYPOUND_NAME,Belly Pound,,Barrigazo,Tambourinage de bide,Bauchtrommel,Sbatacchiamento di Pancia,Barrigada,,,ベリーパウンド,
EABILITY_DIGEST_NAME,Digest,,Digestión,Digestion,Verdauen,Digestione,Digestão,,,ダイジェスト,
EABILITY_HEADCHARGE_NAME,Head Charge,,Cabezazo,Tête en avant,Kopfansturm,Carica di Testa,Cabeçada,,,ヘッドチャージ,
EABILITY_SHRIEK_NAME,Shriek,,Chillido,Cri perçant,Kreischen,Stridio,Guincho,,,シュリーク,
EABILITY_SCREAM_NAME,Scream,,Grito,Cri,Schrei,Urlo,Grito,,,スクリーム,
EABILITY_SHAKE_NAME,Shake,,Sacudida,Secousse,Schütteln,Scuotimento,Tremor,,,シェイク,
EABILITY_COUGH_NAME,Cough,,Tos,Toux,Husten,Tosse,Tosse,,,コフ,
EABILITY_PRISON_NAME,Prison,,Prisión,Prison,Gefängnis,Prigione,Prisão,,,プリズン,
EABILITY_SPINTHROW_NAME,Spin Throw,,Lanzamiento giratorio,Lancer toupie,Drehwurf,Lancio Rotante,Lançamento Giratório,,,スピンスロー,
