KEY,en,notes,sp,fr,de,it,pt-br,ja
KEYWORD_DEHYDRATED_NAME,Heat Wave,,Ola de calor,Vague de chaleur,Hitzewelle,Ondata di calore,Onda de Calor,脱水
KEYWORD_DEHYDRATED_DESC,Heals are reduced by 1. Does not heal after battle. Can be mitigated with water.,,Las curaciones se reducen en 1. No se cura tras los combates. Se puede mitigar con agua.,Les soins sont réduits de 1. Aucune régénération de PV après le combat. Peut être dissipé avec de l'eau.,Heilungen sind um 1 reduziert. Heilt sich nach dem Kampf nicht. Kann durch Wasser entfernt werden.,Le cure sono ridotte di 1. Non ci si cura dopo la battaglia. Può essere mitigato con l'acqua.,Curas são reduzidas em 1. Não se cura após a batalha. Pode ser mitigada com água.,回復量が​1減少。​戦闘後に​回復しない。​水で​軽減可能。[b][/b]
,,,,,,,,
DEBUG_TEST_GERMAN_WORDWRAPPING,WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW,"you dont need to localize this, this was just for testing stuff",WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW,WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW,,WWW&nbsp;WWW[img:str]WWWW WWWWWWWWW,WWW&nbsp;WWW[img:str]WWWW WWWWWWWWW,WWWW&nbsp;WWW[img:str]WWWW WWWWWWWW
,,,,,,,,
ADVENTURE_BOX_LABEL,[b]Adventure[/b],"this is drawn art in english, and a text box in other languages",[b]Aventura[/b],[b]Aventure[/b],[b]Abenteuer[/b],[b]Avventura[/b],[b]Aventura[/b],[b]アドベンチャー[/b]
,,,,,,,,
EVENT_GENIE_CHOICE_WEALTH,Wealth!,,¡Riquezas!,La richesse&nbsp;!,Reichtum!,Ricchezza!,Riqueza!,富を!
EVENT_GENIE_CHOICE_LOOKS,Looks!,,¡Belleza!,La beauté&nbsp;!,Aussehen!,Aspetto!,Beleza!,美を!
EVENT_GENIE_CHOICE_POWER,Power!,,¡Poder!,Le pouvoir&nbsp;!,Macht!,Potere!,Poder!,力を!
EVENT_GENIE_CHOICE_CURSEMIND,Curse Mind,,Maldecir mente,Malédiction de l'esprit,Deinen Geist verfluchen,Maledizione della mente,Amaldiçoar mente,精神に​呪いを
EVENT_GENIE_CHOICE_CURSEBODY,Curse Body,,Maldecir cuerpo,Malédiction du corps,Deinen Körper verfluchen,Maledizione del corpo,Amaldiçoar corpo,肉体に​呪いを
EVENT_GENIE_CHOICE_CURSESOUL,Curse Soul,,Maldecir alma,Malédiction de l'âme,Deine Seele verfluchen,Maledizione dell'anima,Amaldiçoar alma,魂に​呪いを
,,,,,,,,
POPUP_SWITCH_LANGUAGE_INGAME_WARNING,Some text may not update to the new language until you restart the game.,,Es posible que algunos textos no se actualicen al nuevo idioma hasta que reinicies el juego.,Il se peut que certains textes ne changent qu'après avoir redémarré le jeu.,"Starte das Spiel neu, um alle Texte zu aktualisieren.",Alcuni testi potrebbero non aggiornarsi alla nuova lingua finché non riavvii il gioco.,Partes do texto podem não ser atualizadas para o novo idioma até que você reinicie o jogo.,ゲームを​再起動するまで、​一部の​テキストが​新しい​言語に​更新されない​場合が​あります。[b][/b]
,,,,,,,,
TOOLTIP_HINT_UNCOMPLETABLE_QUEST_LABEL,Something is missing...,,Falta algo...,Il manque quelque chose...,Etwas fehlt hier&nbsp;…,Manca qualcosa...,Algo está faltando...,何かが​足りない...
TOOLTIP_HINT_UNCOMPLETABLE_QUEST_DESC,You do not currently have the means to complete this quest.,,Ahora mismo no tienes lo necesario para completar esta misión.,Vous ne pouvez pas effectuer cette quête pour le moment.,Du kannst diese Quest momentan nicht abschließen.,Al momento non hai i mezzi per completare questa missione.,Você não possui os meios para concluir esta missão neste momento.,現在、​この​クエストを​完了する​手段が​ありません。[b][/b]
,,,,,,,,
EVENT_MYSTERIOUSTENT_PROMPT,Enter Shop,,Entrar en la tienda,Accès boutique,Shop betreten,Entra nel negozio,Entrar na loja,ショップに​入る
EVENT_TRACY_REW3B,"[i]""Here, have some food.""[/i]",,"«Toma, tengo comida».","[i]«&nbsp;Tiens, de quoi manger.&nbsp;»[/i]","[i]„Hier, ein bisschen Futter.“[/i]","[i]""Ecco, prendi del cibo.""[/i]","[i]""Aqui, tome um pouco de comida.""[/i]",[i]「ほら、​食べ物を​あげるわ。」[/i]
,,,,,,,,
QEVENT_STACYMUTANT1_NAME,Stacy Experiment,,Experimento de Stacy,Expérience Stacy,Stacys Experiment,Esperimento di Stacy,Experimento de Stacy,ステイシー実験
