KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
TEAMNAME_FORMAT,The {Adjective} {Nouns},"one adjective and one noun are chosen at random. If this is impossible to make work in a language, then just change the format to say ""The Cats"", or make the adjectives empty and randomize some teamnames in the Noun slots",Los {Nouns} {Adjective},Les {Nouns} {Adjective},Die {Adjective} {Nouns},{Nouns} {Adjective},{Nouns} {Adjective},,,ザ・{Adjective}{Nouns},
TEAMNAME_FORMAT2,{Adjective} {Nouns},"if the adjective is prepended with ""format2|"" then the team name will use this format instead of the default one",{Nouns} {Adjective},{Nouns} {Adjective},Die {Adjective}-{Nouns},{Adjective} {Nouns},{Nouns} {Adjective},,,{Adjective}{Nouns},
,,"if more than 2 formats are needed for a language, I can add more (just let me know).",,,,,,,,,
,,"nouns may be prepended with the text ""singular|"" (ex if the noun is Team or Sqaud instead of Cats). This changes the grammar in the embark/return/fail cutscenes (ex: ""{Teamname} Returns Home"" vs {Teamname} Return Home"")",,,,,,,,,
TEAMNAME_ADJECTIVE_FIGHTER0,Strong,"these do not need to be strictly literal translations, you can be creative with them",Fuertes,forts|fortes,Starken,Forti,Fortes,,,強い,
TEAMNAME_ADJECTIVE_FIGHTER1,Dumb,,Tontos,idiots|idiotes,Blöden,Tontoloni|Tontolone,Burros|Burras,,,おバカ,
TEAMNAME_ADJECTIVE_FIGHTER2,Powerful,,Poderosos,puissants|puissantes,Garstigen,Potenti,Poderosos|Poderosas,,,パワフル,
TEAMNAME_ADJECTIVE_FIGHTER3,Mighty,,Imponentes,vaillants|vaillantes,Mächtigen,Possenti,Potentes,,,マイティ,
TEAMNAME_ADJECTIVE_FIGHTER4,Elite,,de Élite,d'élite,format2|Elite,D'élite,de Elite,,,エリート,
TEAMNAME_ADJECTIVE_FIGHTER5,Swol,,Cachas,musclés|musclées,Pumpenden,Pompati|Pompate,Inchados|Inchadas,,,ムキムキ,
TEAMNAME_ADJECTIVE_FIGHTER6,Alpha,,Alfa,mâles alpha|femelles alpha,format2|Alpha,Alfa,Alfas,,,アルファ,
TEAMNAME_ADJECTIVE_FIGHTER7,Punchy,,Contundentes,percutants|percutantes,Schlagfertigen,Bizzosi|Bizzose,Impactantes,,,パンチ好き,
TEAMNAME_ADJECTIVE_FIGHTER8,Bruised,,Magullados,amochés|amochées,Verprellten,Lividi|Livide,Contundidos|Contundidas,,,打たれ強い,
TEAMNAME_ADJECTIVE_FIGHTER9,Fightin',,Peleones,bagarreurs|bagarreuses,Kriegerischen,Rissosi|Rissose,Lutadores|Lutadoras,,,喧嘩上等,
TEAMNAME_ADJECTIVE_FIGHTER10,Tough,,Duros,balèzes,Zähen,Duri|Dure,Resistentes,,,タフ,
TEAMNAME_ADJECTIVE_FIGHTER11,Cocky,,Fanfarrones,prétentieux|prétentieuses,Frechen,Spavaldi|Spavalde,Arrogantes,,,イキった,
TEAMNAME_ADJECTIVE_FIGHTER12,Dim,,Atontados,bêtes,Zurückgebliebenen,Ottusi|Ottuse,Obtusos|Obtusas,,,鈍い,
TEAMNAME_ADJECTIVE_FIGHTER13,Brooding,,Amenazadores,menaçants|menaçantes,Grüblerischen,Cupi,Melancólicos|Melancólicas,,,むっつり,
TEAMNAME_ADJECTIVE_HUNTER0,Patient,,Pacientes,patients|patientes,Geduldigen,Pazienti,Pacientes,,,我慢強い,
TEAMNAME_ADJECTIVE_HUNTER1,Accurate,,Precisos,précis|précises,Peniblen,Precisi|Precise,Precisos|Precisas,,,正確無比,
TEAMNAME_ADJECTIVE_HUNTER2,Focused,,Concentrados,concentrés|concentrées,Konzentrierten,Concentrati|Concentrate,Concentrados|Concentradas,,,集中,
TEAMNAME_ADJECTIVE_HUNTER3,Sharp Shootin',,Certeros,flingueurs|flingueuses,Adleräugigen,Attenti|Attente,Certeiros|Certeiras,,,狙撃,
TEAMNAME_ADJECTIVE_HUNTER4,Mangy,,Sarnosos,galeux|galeuses,Räudigen,Rognosi|Rognose,Mambembes,,,疥癬,
TEAMNAME_ADJECTIVE_HUNTER5,Infested,,Infestados,infestés|infestées,Infizierten,Infestati|Infestate,Infestados|Infestadas,,,ノミまみれ,
TEAMNAME_ADJECTIVE_HUNTER6,Ranged,,a Distancia,organisés|organisées,Fernkämpfenden,Tiratori|Tiratrici,Distantes,,,遠距離,
TEAMNAME_ADJECTIVE_HUNTER7,Trapping,,Capturadores,piégeurs|piégeuses,Fallenstellenden,Insidiosi|Insidiose,Astutos|Astutas,,,罠使い,
TEAMNAME_ADJECTIVE_HUNTER8,Keen,,Agudos,enthousiastes,Eifrigen,Acuti|Acute,Afiados|Afiadas,,,鋭敏,
TEAMNAME_ADJECTIVE_HUNTER9,Wilding,,Salvajes,déchaînés|déchaînées,Wilden,Scatenati|Scatenate,Primitivos|Primitivas,,,野生児,
TEAMNAME_ADJECTIVE_HUNTER10,Untamed,,Indómitos,indomptables,Ungezähmten,Indomiti|Indomite,Indomáveis,,,野良,
TEAMNAME_ADJECTIVE_HUNTER11,Outdoor,,Intrépidos,du plein air,format2|Outdoor,Esterni|Esterne,Rueiros|Rueiras,,,屋外派,
TEAMNAME_ADJECTIVE_MEDIC0,Caring,,Bondadosos,attentionnés|attentionnées,Gütigen,Premurosi|Premurose,Carinhosos|Carinhosas,,,思いやり,
TEAMNAME_ADJECTIVE_MEDIC1,Loving,,Afectuosos,aimants|aimantes,Lieben,Affettuosi|Affettuose,Amorosos|Amorosas,,,愛情深い,
TEAMNAME_ADJECTIVE_MEDIC2,Reverent,,Respetuosos,révérencieux|révérencieuses,Ehrfürchtigen,Riverenti,Reverentes,,,敬虔,
TEAMNAME_ADJECTIVE_MEDIC3,Holy,,Sacros,saints|saintes,Heiligen,Sacri|Sacre,Sagrados|Sagradas,,,聖なる,
TEAMNAME_ADJECTIVE_MEDIC4,Pious,,Piadosos,pieux|pieuses,Frommen,Pii|Pie,Piedosos|Piedosas,,,信心深い,
TEAMNAME_ADJECTIVE_MEDIC5,Devout,,Devotos,dévots|dévotes,Gläubigen,Devoti|Devote,Devotos|Devotas,,,献身的,
TEAMNAME_ADJECTIVE_MEDIC6,Godly,,Religiosos,vertueux|vertueuses,Gottgleichen,Celestiali,Virtuosos|Virtuosas,,,神々しい,
TEAMNAME_ADJECTIVE_MEDIC7,Righteous,,Honrados,intègres,Gerechten,Giusti|Giuste,Justos|Justas,,,正義,
TEAMNAME_ADJECTIVE_MEDIC8,Divine,,Divinos,divins|divines,Göttlichen,Divini,Divinos|Divinas,,,神聖,
TEAMNAME_ADJECTIVE_MEDIC9,Faithful,,Leales,croyants|croyantes,Getreuen,Credenti,Fiéis,,,忠実,
TEAMNAME_ADJECTIVE_MEDIC10,Anointed,,Ungidos,consacrés|consacrées,Gesalbten,Consacrati|Consacrate,Abençoados|Abençoadas,,,聖油を​塗られし,
TEAMNAME_ADJECTIVE_MAGE0,Magical,,Mágicos,magiques,Magischen,Magici|Magiche,Mágicos|Mágicas,,,魔法使い,
TEAMNAME_ADJECTIVE_MAGE1,Elemental,,Elementales,élémentaires,Elementaren,Elementali,Elementais,,,エレメンタル,
TEAMNAME_ADJECTIVE_MAGE2,Attuned,,en Armonía,harmonisés|harmonisées,Eingestimmten,Armonizzati|Armonizzate,Sintonizados|Sintonizadas,,,同調,
TEAMNAME_ADJECTIVE_MAGE3,Spell Slingin',,Hechiceros,prestidigitateurs|prestidigitatrices,Zauberhaften,Incantatori|Incantatrici,Feiticeiros|Feiticeiras,,,呪文使い,
TEAMNAME_ADJECTIVE_MAGE4,Big Brained,,Inteligentes,intellos,Hyperintelligenten,Cervelloni|Cervellone,Geniais,,,大脳,
TEAMNAME_ADJECTIVE_MAGE5,Smart,,Listos,futés|futées,Schlauen,Svegli|Sveglie,Espertos|Espertas,,,賢い,
TEAMNAME_ADJECTIVE_MAGE6,Enchanted,,Encantados,enchantés|enchantées,Verzauberten,Incantati|Incantate,Encantados|Encantadas,,,魔法に​かかった,
TEAMNAME_ADJECTIVE_MAGE7,Spellbound,,Hechizados,ensorcelés|ensorcelées,Gebannten,Stregati|Stregate,Enfeitiçados|Enfeitiçadas,,,呪縛,
TEAMNAME_ADJECTIVE_MAGE8,Mana Filled,,de Maná,pourvus de mana|pourvues de mana,Magieerfüllten,del Mana,Cheios de Mana|Cheias de Mana,,,マナ充填,
TEAMNAME_ADJECTIVE_MAGE9,Academic,,Académicos,académiciens|académiciennes,Akademischen,Accademici|Accademiche,Acadêmicos|Acadêmicas,,,学究,
TEAMNAME_ADJECTIVE_MAGE10,Intellectual,,Intelectuales,intellectuels|intellectuelles,Intellektuellen,Colti|Colte,Intelectuais,,,知的,
TEAMNAME_ADJECTIVE_MAGE11,Magic,,Embrujados,magiques,Bezauberten,Fatati|Fatate,Bruxos|Bruxas,,,マジック,
TEAMNAME_ADJECTIVE_TANK0,Thick,,Gruesos,à l'ossature lourde,Dicken,Massicci|Massiccie,Grossos|Grossas,,,肉厚,
TEAMNAME_ADJECTIVE_TANK1,Steady,,Firmes,solides,Standhaften,Stabili,Firmes,,,どっしり,
